name,launch_date,launch_vehicle,orbit_type,application,details_url,pdf_brochure_url,description,launch_vehicle_raw
EOS-09,2025-05-18,PSLV-C61,unknown,unknown,unknown,unknown,unknown,PSLV-C61/EOS-09 Mission
NVS-02,2025-01-29,GSLV-F15,GTO (Geosynchronous Transfer Orbit),Navigation,https://www.isro.gov.in/GSLV-F15_NVS-02_Mission.html,https://www.isro.gov.in/media_isro/pdf/GSLVF15/GSLV-F15_NVS-02_EngBrochure240125.pdf,"January 24, 2025
GSLV-F15 is the 17thflight of India’s Geosynchronous Satellite Launch Vehicle (GSLV)
                        and 11thflight with Indigenous Cryo stage.It is the 8thoperational
                        flight of GSLV with an indigenous Cryogenic stage and 100thLaunch from the India’s
                        Spaceport Sriharikota.GSLV-F15 payload fairing is a metallic version with a diameter of 3.4
                        meters.
ISRO is preparing for its landmark 100thlaunch from Sriharikota. GSLV F15 will lift-off from
                        the second launch pad at 06:23 hrs on January 29, 2025, carrying the NVS-02 navigation satellite.
                        This will be the 100thlaunch to lift-off from Sriharikota. Over a span of 99 launches, various
                        missions have been carried out from Sriharikota.Click here for the details of the 99 missionsPDF - 204 KB
The GSLV-F15 with indigenous Cryogenic stage will place NVS-02 satellite
                        into a Geosynchronous Transfer Orbit & the launch will take place from the Second Launch Pad
                        (SLP) at Satish Dhawan Space Centre, SHAR.
Navigation with Indian Constellation (NavIC) is India's independent regional
                    navigation satellite system designed to provide accurate Position, Velocity and Timing (PVT) service
                    to users in India as well as to region extending about 1500 km beyond Indian land mass.
NavIC will provide two types of services, namely, Standard Positioning Service
                    (SPS) and Restricted Service (RS). NavIC's SPS provides a position accuracy of better than 20 m (2σ)
                    and timing accuracy better than 40 ns (2σ) over the service area.
ISRO successfully completed a century in the launches from its spaceport at Sriharikota on January 29, 2025 with the 17thlaunch of GSLV. In this mission NVS-02 navigation satellite was successfully injected into the intended Geosynchronous Transfer Orbit. All the launch vehicle stages performed flawlessly and the orbit was achieved with a high degree of precision.
Subsequent to the launch, the solar panels on board the satellite were successfully deployed and power generation is nominal. Communication with the ground station has been established. But the orbit raising operations towards positioning the satellite to the designated orbital slot could not be carried out as the valves for admitting the oxidizer to fire the thrusters for orbit raising did not open.
The satellite systems are healthy and the satellite is currently in elliptical orbit. Alternate mission strategies for utilising the satellite for navigation in an elliptical orbit is being worked out.",GSLV-F15/NVS-02 MISSION
SPADEX-A,2024-12-30,PSLV C60,SSO,Navigation,https://www.isro.gov.in/mission_SpaDeX.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC60/PSLVC60-mission-brochure-english.pdf,"December 21, 2024
SpaDeX mission is a cost-effective technology demonstrator mission for the demonstration of in-space
                    docking using two small spacecraft launched by PSLV. This technology is essential for India's space
                    ambitions such as Indian on Moon, sample return from the Moon, the building and operation of
                    Bharatiya Antariksh Station (BAS), etc. In-space docking technology is essential when multiple
                    rocket launches are required to achieve common mission objectives. Through this mission, India is
                    marching towards becoming the fourth country in the world to have space docking technology.
The primary objective of the SpaDeX mission is to develop and demonstrate the technology needed for
                    rendezvous, docking, and undocking of two small spacecraft (SDX01, which is the Chaser, and SDX02,
                    the Target, nominally) in a low-Earth circular orbit. Secondary objectives include:
The SpaDeX mission consists of two small spacecraft (about 220 kg each) to be launched by PSLV-C60,
                    independently and simultaneously, into a 470 km circular orbit at 55° inclination, with a local time
                    cycle of about 66 days. The demonstrated precision of the PSLV vehicle will be utilized to give a
                    small relative velocity between the Target and Chaser spacecraft at the time of separation from the
                    launch vehicle. This incremental velocity will allow the Target spacecraft to build a 10-20 km
                    inter-satellite separation with respect to the Chaser within a day. At this point, the relative
                    velocity between the Target will be compensated using the propulsion system of the Target
                    spacecraft.
At the end of this drift arrest maneuver, the Target and Chaser will be in the same orbit with
                    identical velocity but separated by about 20 km, known as Far Rendezvous. With a similar strategy of
                    introducing and then compensating for a small relative velocity between the two spacecraft, the
                    Chaser will approach the Target with progressively reduced inter-satellite distances of 5 km, 1.5
                    km, 500 m, 225 m, 15 m, and 3 m, ultimately leading to the docking of the two spacecraft. After
                    successful docking and rigidization, electrical power transfer between the two satellites will be
                    demonstrated before undocking and separation of the two satellites to start the operation of their
                    respective payloads for the expected mission life of up to two years.
The indigenous technologies developed for enabling this docking mission are as follows:
In addition, SpaDeX, because of its small size and mass, is even more challenging due to the finer
                    precision required for the rendezvous and docking maneuvers compared to docking two large
                    spacecraft. This mission will be a forerunner for autonomous docking needed for future lunar
                    missions like Chandrayaan-4 without the support of GNSS from Earth.
The docking mechanism is a low-impact docking system (approach velocity is in the order of 10 mm/s),
                    androgynous (docking systems are identical for both spacecraft, Chaser & Target), and is a
                    peripheral docking system (concept similar to the International Docking System Standard used by
                    other agencies for human missions). The mechanism is smaller (450 mm) with one degree of freedom for
                    extension and uses two motors compared to the IDSS (800 mm) on a hexapod with 24 motors. Multiple
                    test beds were established to test the hardware and software simulation of the docking kinematics to
                    verify and finalise the docking approach parameters.
The additional sensor suite in this mission includes Laser Range Finder (LRF) and Corner Cube Retro
                    Reflectors to work for a range of 6000 to 200 m for determining range (R). The set of Rendezvous
                    Sensors (RS) is used in the range of 2000 to 250 m and from 250-10 m. RS provides the relative
                    position (x, y, z) while LRF determines both relative position and velocity independently.
Proximity and Docking Sensor (PDS) provides relative position and velocity over a range of 30 m to
                    0.4 m. Laser Diodes (LDs) are used as targets for RS & PDS. A video monitor is used in the 20 to 0.5
                    m range and it will capture the video of the docking event. A Mechanism Entry Sensor (MES) is used
                    from 8 cm to 4 cm to detect chaser entry into the target spacecraft during docking. Multiple test
                    beds were used to calibrate and validate these sensors before accepting them for the mission.
Like all ISRO satellites in low-Earth orbit, both the SpaDeX spacecraft carry a differential
                    GNSS-based Satellite Positioning System (SPS), which provides PNT (Position, Navigation, and Timing)
                    solutions for the satellites. In SpaDeX, a novel RODP processor is included in the SPS receiver,
                    which allows accurate determination of the relative position and velocity of the Chaser and the
                    Target. By subtracting the carrier phase measurements from the same GNSS satellites in both Chaser
                    and Target SPS receivers, highly accurate relative states of the two satellites are determined. The
                    VHF/UHF transceivers in both satellites aid this process by transferring the GNSS satellite
                    measurements from one satellite to the other. Hardware and software test beds, including closed-loop
                    verifications, were carried out to characterise the RODP performance.
Up to an inter-satellite distance (ISD) of 5 km, standard orbit maintenance and attitude control
                    algorithms employed in ISRO LEO spacecraft are used. As the spacecraft are in circular orbit, and
                    any addition or reduction of velocity to the satellites will result in orbit change, the V-bar
                    strategy using n-Pulse, Glideslope and PV guidance algorithms are employed to reduce the ISD between
                    the satellites, hold at fixed ISDs to evaluate the sensors and software, and finally docking. These
                    algorithms were converted into software for achieving the rendezvous and docking. These software
                    solutions were tested and validated in multiple digital, hardware-in-loop, onboard-in-loop,
                    software-in-loop, and robotic simulations.
After the docking and undocking events, the spacecrafts will be separated and used for application
                    missions.
The SpaDeX spacecraft were designed and realized by the UR Rao Satellite Centre (URSC) with the
                    support of other ISRO centers (VSSC, LPSC, SAC, IISU, and LEOS). The spacecraft, in its orbital
                    phase, will be controlled from ISTRAC using ISRO ground stations and other externally hired ground
                    stations. The full integration and testing of the satellite were carried out at M/s Ananth
                    Technologies, Bangalore, under the supervision of URSC. Presently, after completing all tests and
                    clearances, the spacecraft has moved from URSC to SDSC and is undergoing preparations for launch.",PSLV C60/SPADEX Mission
SPADEX-B,2024-12-30,PSLV C60,SSO,Navigation,https://www.isro.gov.in/mission_SpaDeX.html,https://www.isro.gov.in/media_isro/pdf/Missions/PSLVC60/PSLVC60-mission-brochure-english.pdf,"December 21, 2024
SpaDeX mission is a cost-effective technology demonstrator mission for the demonstration of in-space
                    docking using two small spacecraft launched by PSLV. This technology is essential for India's space
                    ambitions such as Indian on Moon, sample return from the Moon, the building and operation of
                    Bharatiya Antariksh Station (BAS), etc. In-space docking technology is essential when multiple
                    rocket launches are required to achieve common mission objectives. Through this mission, India is
                    marching towards becoming the fourth country in the world to have space docking technology.
The primary objective of the SpaDeX mission is to develop and demonstrate the technology needed for
                    rendezvous, docking, and undocking of two small spacecraft (SDX01, which is the Chaser, and SDX02,
                    the Target, nominally) in a low-Earth circular orbit. Secondary objectives include:
The SpaDeX mission consists of two small spacecraft (about 220 kg each) to be launched by PSLV-C60,
                    independently and simultaneously, into a 470 km circular orbit at 55° inclination, with a local time
                    cycle of about 66 days. The demonstrated precision of the PSLV vehicle will be utilized to give a
                    small relative velocity between the Target and Chaser spacecraft at the time of separation from the
                    launch vehicle. This incremental velocity will allow the Target spacecraft to build a 10-20 km
                    inter-satellite separation with respect to the Chaser within a day. At this point, the relative
                    velocity between the Target will be compensated using the propulsion system of the Target
                    spacecraft.
At the end of this drift arrest maneuver, the Target and Chaser will be in the same orbit with
                    identical velocity but separated by about 20 km, known as Far Rendezvous. With a similar strategy of
                    introducing and then compensating for a small relative velocity between the two spacecraft, the
                    Chaser will approach the Target with progressively reduced inter-satellite distances of 5 km, 1.5
                    km, 500 m, 225 m, 15 m, and 3 m, ultimately leading to the docking of the two spacecraft. After
                    successful docking and rigidization, electrical power transfer between the two satellites will be
                    demonstrated before undocking and separation of the two satellites to start the operation of their
                    respective payloads for the expected mission life of up to two years.
The indigenous technologies developed for enabling this docking mission are as follows:
In addition, SpaDeX, because of its small size and mass, is even more challenging due to the finer
                    precision required for the rendezvous and docking maneuvers compared to docking two large
                    spacecraft. This mission will be a forerunner for autonomous docking needed for future lunar
                    missions like Chandrayaan-4 without the support of GNSS from Earth.
The docking mechanism is a low-impact docking system (approach velocity is in the order of 10 mm/s),
                    androgynous (docking systems are identical for both spacecraft, Chaser & Target), and is a
                    peripheral docking system (concept similar to the International Docking System Standard used by
                    other agencies for human missions). The mechanism is smaller (450 mm) with one degree of freedom for
                    extension and uses two motors compared to the IDSS (800 mm) on a hexapod with 24 motors. Multiple
                    test beds were established to test the hardware and software simulation of the docking kinematics to
                    verify and finalise the docking approach parameters.
The additional sensor suite in this mission includes Laser Range Finder (LRF) and Corner Cube Retro
                    Reflectors to work for a range of 6000 to 200 m for determining range (R). The set of Rendezvous
                    Sensors (RS) is used in the range of 2000 to 250 m and from 250-10 m. RS provides the relative
                    position (x, y, z) while LRF determines both relative position and velocity independently.
Proximity and Docking Sensor (PDS) provides relative position and velocity over a range of 30 m to
                    0.4 m. Laser Diodes (LDs) are used as targets for RS & PDS. A video monitor is used in the 20 to 0.5
                    m range and it will capture the video of the docking event. A Mechanism Entry Sensor (MES) is used
                    from 8 cm to 4 cm to detect chaser entry into the target spacecraft during docking. Multiple test
                    beds were used to calibrate and validate these sensors before accepting them for the mission.
Like all ISRO satellites in low-Earth orbit, both the SpaDeX spacecraft carry a differential
                    GNSS-based Satellite Positioning System (SPS), which provides PNT (Position, Navigation, and Timing)
                    solutions for the satellites. In SpaDeX, a novel RODP processor is included in the SPS receiver,
                    which allows accurate determination of the relative position and velocity of the Chaser and the
                    Target. By subtracting the carrier phase measurements from the same GNSS satellites in both Chaser
                    and Target SPS receivers, highly accurate relative states of the two satellites are determined. The
                    VHF/UHF transceivers in both satellites aid this process by transferring the GNSS satellite
                    measurements from one satellite to the other. Hardware and software test beds, including closed-loop
                    verifications, were carried out to characterise the RODP performance.
Up to an inter-satellite distance (ISD) of 5 km, standard orbit maintenance and attitude control
                    algorithms employed in ISRO LEO spacecraft are used. As the spacecraft are in circular orbit, and
                    any addition or reduction of velocity to the satellites will result in orbit change, the V-bar
                    strategy using n-Pulse, Glideslope and PV guidance algorithms are employed to reduce the ISD between
                    the satellites, hold at fixed ISDs to evaluate the sensors and software, and finally docking. These
                    algorithms were converted into software for achieving the rendezvous and docking. These software
                    solutions were tested and validated in multiple digital, hardware-in-loop, onboard-in-loop,
                    software-in-loop, and robotic simulations.
After the docking and undocking events, the spacecrafts will be separated and used for application
                    missions.
The SpaDeX spacecraft were designed and realized by the UR Rao Satellite Centre (URSC) with the
                    support of other ISRO centers (VSSC, LPSC, SAC, IISU, and LEOS). The spacecraft, in its orbital
                    phase, will be controlled from ISTRAC using ISRO ground stations and other externally hired ground
                    stations. The full integration and testing of the satellite were carried out at M/s Ananth
                    Technologies, Bangalore, under the supervision of URSC. Presently, after completing all tests and
                    clearances, the spacecraft has moved from URSC to SDSC and is undergoing preparations for launch.",PSLV C60/SPADEX Mission
Proba-3,2024-12-05,PSLV-C59,unknown,unknown,https://www.isro.gov.in/PSLV_C59_PROBA-3_Mission.html,https://www.isro.gov.in/media_isro/pdf/PSLVC59/PSLV_C59_Brochure.pdf,"December 02, 2024
PSLV-C59 vehicle carried Proba-3 spacecraft into a highly elliptical orbit as a Dedicated commercial mission of NewSpace India Limited (NSIL) on December 05, 2024 at 16:04 Hrs.
Proba-3 is an In-Orbit Demonstration (IOD) mission of the European Space Agency. The mission goal is to demonstrate precise formation flying. It consists of 2 spacecrafts viz. the Coronagraph Spacecraft (CSC) and the Occulter Spacecraft (OSC) and it will be launched together in a stacked configuration. Launch is planned from First Launch Pad (FLP), Satish Dhawan Space Centre (SDSC-SHAR), Sriharikota.
PSLV-C59 Vehicle Characteristics",PSLV-C59/Proba-3 Mission
GSAT-N2,2024-11-19,Falcon-9,GSO (Geosynchronous Orbit),Communication,https://www.isro.gov.in/GSAT-N2_mission.html,unknown,"November 28, 2024
GSAT-N2 had reached its final Geostationary orbit and is slowly drifting to its final orbital slot of 68 deg E longitude in a weeks’ time. Weighing 4700 kg, GSAT-N2 is a high-throughput satellite (HTS) operating in the Ka-Ka band, with a capacity of 48 Gbps. It is designed to meet broadband and in-flight connectivity needs across India. The satellite features 32 spot beams, ensuring nationwide coverage, including the remote regions of the Andaman & Nicobar and Lakshadweep Islands. The satellite was developed by UR Rao Satellite Centre with communication payloads from Space Application Centre, ISRO for NSIL. GSAT-N2 satellite is the second demand-driven communication satellite mission undertaken by New Space India Limited (NSIL), a Government of India enterprise under the Department of Space (DoS).
Launch:
GSAT-N2 was successfully launched on November 19, 2024, aboard a Falcon-9 rocket from Cape Canaveral Space Force Station, Florida, USA. The launcher placed spacecraft into a Super Geo-synchronous Transfer Orbit (GTO) with a perigee of 250 km, apogee of 59,730 km and an orbital Inclination of 27.5 degree.
Satellite Control:
After separation from the launcher, ISRO's Master Control Facility (MCF) at Hassan took over the operations. Initial data confirmed good health and stability of the satellite. The satellite's orbit was raised from GTO to Geo-Stationary Orbit (GSO) using its onboard chemical propulsion system developed by LPSC, ISRO while being controlled by MCF. Later all the three reflectors of the antennae were deployed successfully. The final trimming of the orbit by the propulsion system was completed and the system was safely isolated. Based on the propulsion system performance, there is adequate fuel left in the spacecraft to ensure its full operational life.
Next Steps:
The satellite will undergo elaborate In-Orbit Testing (IOT) in the coming days along with the ground communication infrastructure to verify the operation and performance of the communication payloads. Operational services are expected to commence from 68° East longitude after successful testing.",Falcon-9
